Date,N Hot Pixel,meanTI,maxTI,maxDist,maxDist Summit,N Hot Pixel Summit,N Cluster
31-Dec-2018 15:07:20,0,NaN,NaN,NaN,NaN,0,0
10-Jan-2019 15:07:22,34,1.04528823529412,1.8704,228.035085019828,228.035085019828,34,1
15-Jan-2019 15:07:19,0,NaN,NaN,NaN,NaN,0,0
20-Jan-2019 15:07:23,0,NaN,NaN,NaN,NaN,0,0
25-Jan-2019 15:07:20,2,0.9851,1.0573,113.137084989848,113.137084989848,2,1
30-Jan-2019 15:07:23,0,NaN,NaN,NaN,NaN,0,0
04-Feb-2019 15:07:20,22,1.45410909090909,1.8078,223.606797749979,223.606797749979,22,1
09-Feb-2019 15:07:23,0,NaN,NaN,NaN,NaN,0,0
14-Feb-2019 15:07:19,0,NaN,NaN,NaN,NaN,0,0
19-Feb-2019 15:07:24,0,NaN,NaN,NaN,NaN,0,0
24-Feb-2019 15:07:19,0,NaN,NaN,NaN,NaN,0,0
01-Mar-2019 15:07:21,0,NaN,NaN,NaN,NaN,0,0
06-Mar-2019 15:07:17,0,NaN,NaN,NaN,NaN,0,0
11-Mar-2019 15:07:20,0,NaN,NaN,NaN,NaN,0,0
16-Mar-2019 15:07:20,0,NaN,NaN,NaN,NaN,0,0
21-Mar-2019 15:07:22,0,NaN,NaN,NaN,NaN,0,0
26-Mar-2019 15:07:22,28,1.67042142857143,2.6515,280,280,28,3
31-Mar-2019 15:07:25,4,1.16545,1.2316,200,200,4,1
05-Apr-2019 15:07:24,31,1.49796129032258,2.0592,220.907220343745,220.907220343745,31,2
10-Apr-2019 15:07:27,4,1.081125,1.1699,241.660919471891,241.660919471891,4,1
15-Apr-2019 15:07:25,0,NaN,NaN,NaN,NaN,0,0
20-Apr-2019 15:07:29,7,1.60098571428571,1.8948,178.885438199983,178.885438199983,7,1
25-Apr-2019 15:07:26,0,NaN,NaN,NaN,NaN,0,0
30-Apr-2019 15:07:30,0,NaN,NaN,NaN,NaN,0,0
